np_previous_word,np_one_word,np_one_word_next,np_two_word,np_two_word_next,np_three_word,np_three_word_next
"
",from,fairest,"('from', 'fairest')",creatures,"('from', 'fairest', 'creatures')",we
from,fairest,creatures,"('fairest', 'creatures')",we,"('fairest', 'creatures', 'we')",desire
fairest,creatures,we,"('creatures', 'we')",desire,"('creatures', 'we', 'desire')",increase
creatures,we,desire,"('we', 'desire')",increase,"('we', 'desire', 'increase')",
we,desire,increase,"('desire', 'increase')",,"('desire', 'increase', '')","
"
desire,increase,,"('increase', '')","
","
","
"
increase,,"
","
","
","
","
"
"
",that,thereby,"('that', 'thereby')",beauty's,"('that', 'thereby', ""beauty's"")",rose
that,thereby,beauty's,"('thereby', ""beauty's"")",rose,"('thereby', ""beauty's"", 'rose')",might
thereby,beauty's,rose,"(""beauty's"", 'rose')",might,"(""beauty's"", 'rose', 'might')",never
beauty's,rose,might,"('rose', 'might')",never,"('rose', 'might', 'never')",die
rose,might,never,"('might', 'never')",die,"('might', 'never', 'die')",
might,never,die,"('never', 'die')",,"('never', 'die', '')","
"
never,die,,"('die', '')","
","
","
"
die,,"
","
","
","
","
"
"
",but,as,"('but', 'as')",the,"('but', 'as', 'the')",riper
but,as,the,"('as', 'the')",riper,"('as', 'the', 'riper')",should
as,the,riper,"('the', 'riper')",should,"('the', 'riper', 'should')",by
the,riper,should,"('riper', 'should')",by,"('riper', 'should', 'by')",time
riper,should,by,"('should', 'by')",time,"('should', 'by', 'time')",decease
should,by,time,"('by', 'time')",decease,"('by', 'time', 'decease')",
by,time,decease,"('time', 'decease')",,"('time', 'decease', '')","
"
time,decease,,"('decease', '')","
","
","
"
decease,,"
","
","
","
","
"
"
",his,tender,"('his', 'tender')",heir,"('his', 'tender', 'heir')",might
his,tender,heir,"('tender', 'heir')",might,"('tender', 'heir', 'might')",bear
tender,heir,might,"('heir', 'might')",bear,"('heir', 'might', 'bear')",his
heir,might,bear,"('might', 'bear')",his,"('might', 'bear', 'his')",memory
might,bear,his,"('bear', 'his')",memory,"('bear', 'his', 'memory')",
bear,his,memory,"('his', 'memory')",,"('his', 'memory', '')","
"
his,memory,,"('memory', '')","
","
","
"
memory,,"
","
","
","
","
"
"
",but,thou,"('but', 'thou')",,"('but', 'thou', '')",contracted
but,thou,,"('thou', '')",contracted,"('thou', '', 'contracted')",to
thou,,contracted,"('', 'contracted')",to,"('', 'contracted', 'to')",thine
,contracted,to,"('contracted', 'to')",thine,"('contracted', 'to', 'thine')",own
contracted,to,thine,"('to', 'thine')",own,"('to', 'thine', 'own')",bright
to,thine,own,"('thine', 'own')",bright,"('thine', 'own', 'bright')",eyes
thine,own,bright,"('own', 'bright')",eyes,"('own', 'bright', 'eyes')",
own,bright,eyes,"('bright', 'eyes')",,"('bright', 'eyes', '')","
"
bright,eyes,,"('eyes', '')","
","
","
"
eyes,,"
","
","
","
","
"
"
",feed'st,thy,"(""feed'st"", 'thy')",light'st,"(""feed'st"", 'thy', ""light'st"")",flame
feed'st,thy,light'st,"('thy', ""light'st"")",flame,"('thy', ""light'st"", 'flame')",with
thy,light'st,flame,"(""light'st"", 'flame')",with,"(""light'st"", 'flame', 'with')",self
light'st,flame,with,"('flame', 'with')",self,"('flame', 'with', 'self')",substantial
flame,with,self,"('with', 'self')",substantial,"('with', 'self', 'substantial')",fuel
with,self,substantial,"('self', 'substantial')",fuel,"('self', 'substantial', 'fuel')",
self,substantial,fuel,"('substantial', 'fuel')",,"('substantial', 'fuel', '')","
"
substantial,fuel,,"('fuel', '')","
","
","
"
fuel,,"
","
","
","
","
"
"
",making,a,"('making', 'a')",famine,"('making', 'a', 'famine')",where
making,a,famine,"('a', 'famine')",where,"('a', 'famine', 'where')",abundance
a,famine,where,"('famine', 'where')",abundance,"('famine', 'where', 'abundance')",lies
famine,where,abundance,"('where', 'abundance')",lies,"('where', 'abundance', 'lies')",
where,abundance,lies,"('abundance', 'lies')",,"('abundance', 'lies', '')","
"
abundance,lies,,"('lies', '')","
","
","
"
lies,,"
","
","
","
","
"
